<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
08.10.2018,114600,114640,114580,114590
08.10.2018,114580,114640,114580,114640
08.10.2018,114630,114630,114580,114590
08.10.2018,114580,114590,114540,114540
08.10.2018,114540,114550,114450,114480
08.10.2018,114490,114540,114470,114500
08.10.2018,114500,114500,114450,114470
08.10.2018,114480,114490,114450,114450
08.10.2018,114460,114460,114350,114370
08.10.2018,114360,114420,114340,114390
08.10.2018,114390,114440,114370,114420
08.10.2018,114420,114490,114400,114490
08.10.2018,114480,114550,114480,114550
08.10.2018,114550,114550,114490,114500
08.10.2018,114510,114570,114500,114560
08.10.2018,114560,114610,114550,114560
08.10.2018,114560,114580,114510,114550
08.10.2018,114550,114550,114490,114530
08.10.2018,114520,114630,114520,114560
08.10.2018,114560,114580,114510,114530
08.10.2018,114520,114560,114510,114560
08.10.2018,114560,114570,114530,114550
08.10.2018,114540,114560,114520,114540
08.10.2018,114530,114530,114510,114530
08.10.2018,114530,114540,114490,114520
08.10.2018,114520,114530,114410,114420
08.10.2018,114420,114530,114420,114470
08.10.2018,114460,114480,114440,114470
08.10.2018,114450,114540,114450,114540
08.10.2018,114530,114580,114500,114560
08.10.2018,114540,114560,114540,114540
08.10.2018,114530,114560,114500,114540
08.10.2018,114540,114600,114540,114580
08.10.2018,114580,114670,114580,114650
08.10.2018,114650,114660,114580,114610
08.10.2018,114610,114670,114580,114600
08.10.2018,114610,114670,114600,114650
08.10.2018,114650,114730,114650,114710
08.10.2018,114710,114740,114610,114610
08.10.2018,114630,114670,114610,114650
08.10.2018,114640,114660,114620,114620
08.10.2018,114610,114630,114600,114620
08.10.2018,114630,114680,114620,114680
08.10.2018,114670,114680,114650,114670
08.10.2018,114670,114680,114650,114670
08.10.2018,114660,114670,114610,114620
08.10.2018,114610,114630,114570,114600
08.10.2018,114590,114620,114570,114580
08.10.2018,114590,114640,114570,114640
08.10.2018,114640,114660,114600,114620
08.10.2018,114620,114680,114610,114680
08.10.2018,114680,114680,114620,114630
08.10.2018,114620,114640,114600,114620
08.10.2018,114610,114640,114590,114610
08.10.2018,114620,114680,114620,114620
08.10.2018,114630,114680,114610,114650
08.10.2018,114650,114660,114500,114500
08.10.2018,114490,114510,114350,114390
08.10.2018,114370,114460,114370,114430
08.10.2018,114420,114480,114410,114410
08.10.2018,114420,114490,114420,114490
08.10.2018,114490,114510,114480,114510
08.10.2018,114510,114530,114460,114500
08.10.2018,114500,114530,114490,114500
08.10.2018,114500,114510,114460,114500
08.10.2018,114490,114500,114470,114500
08.10.2018,114500,114500,114460,114480
08.10.2018,114490,114490,114440,114480
08.10.2018,114480,114500,114470,114480
08.10.2018,114480,114590,114470,114580
08.10.2018,114580,114600,114490,114530
08.10.2018,114520,114530,114410,114440
